EndID,ScoreBucket,pp_rate,n_total,n_pp,mean_points_pp,p2plus_pp,n_no,mean_points_no,p2plus_no,lift_points,lift_p2plus,confidence,recommend_pp
2,Down2+,0.006622516556291391,151,1,0.0,0.0,150,1.1333333333333333,0.25333333333333335,-1.1333333333333333,-0.25333333333333335,Low,0
3,Down2+,0.08928571428571429,168,15,1.0,0.2,153,0.8823529411764706,0.20915032679738563,0.11764705882352944,-0.009150326797385616,Medium,0
4,Down2+,0.13170731707317074,205,27,0.9629629629629629,0.2222222222222222,178,0.8876404494382022,0.21910112359550563,0.07532251352476071,0.003121098626716584,Medium,0
5,Down1,0.022727272727272728,88,2,3.0,1.0,86,0.8372093023255814,0.23255813953488372,2.1627906976744184,0.7674418604651163,Low,0
5,Down2+,0.34615384615384615,208,72,1.5277777777777777,0.4722222222222222,136,0.8382352941176471,0.2426470588235294,0.6895424836601306,0.2295751633986928,High,1
5,Up1,0.011363636363636364,88,1,1.0,0.0,87,0.7816091954022989,0.21839080459770116,0.2183908045977011,-0.21839080459770116,Low,0
5,Up2+,0.009615384615384616,208,2,0.5,0.0,206,0.6213592233009708,0.14563106796116504,-0.12135922330097082,-0.14563106796116504,Low,0
6,Down1,0.4533333333333333,75,34,1.6764705882352942,0.5588235294117647,41,0.5609756097560976,0.0975609756097561,1.1154949784791965,0.46126255380200865,High,1
6,Down2+,0.47186147186147187,231,109,1.5688073394495412,0.48623853211009177,122,0.6721311475409836,0.1721311475409836,0.8966761919085576,0.31410738456910814,High,1
6,Tied,0.23684210526315788,76,18,1.2777777777777777,0.4444444444444444,58,0.6206896551724138,0.13793103448275862,0.6570881226053639,0.3065134099616858,Medium,1
6,Up1,0.18666666666666668,75,14,1.6428571428571428,0.5,61,0.45901639344262296,0.13114754098360656,1.1838407494145198,0.3688524590163934,Medium,1
6,Up2+,0.12987012987012986,231,30,1.3,0.26666666666666666,201,0.5174129353233831,0.11940298507462686,0.782587064676617,0.14726368159203979,High,0
7,Down1,0.449438202247191,89,40,1.825,0.625,49,0.2857142857142857,0.04081632653061224,1.5392857142857141,0.5841836734693877,High,1
7,Down2+,0.3227848101265823,158,51,1.2352941176470589,0.45098039215686275,107,0.9158878504672897,0.205607476635514,0.31940626717976917,0.24537291552134874,High,0
7,Tied,0.4423076923076923,104,46,1.7391304347826086,0.5434782608695652,58,0.5517241379310345,0.1724137931034483,1.1874062968515742,0.3710644677661169,High,1
7,Up1,0.3707865168539326,89,33,1.9393939393939394,0.5757575757575758,56,0.375,0.08928571428571429,1.5643939393939394,0.4864718614718615,High,1
7,Up2+,0.24050632911392406,158,38,1.763157894736842,0.5263157894736842,120,0.875,0.20833333333333334,0.888157894736842,0.3179824561403508,High,1
8,Down1,0.1864406779661017,59,11,1.7272727272727273,0.5454545454545454,48,0.9166666666666666,0.20833333333333334,0.8106060606060607,0.33712121212121204,Medium,1
8,Down2+,0.09523809523809523,147,14,2.857142857142857,0.5714285714285714,133,4.172932330827067,0.5488721804511278,-1.3157894736842102,0.022556390977443552,Medium,0
8,Tied,0.15714285714285714,70,11,1.0,0.18181818181818182,59,0.6610169491525424,0.15254237288135594,0.3389830508474576,0.02927580893682588,Medium,0
8,Up1,0.22033898305084745,59,13,1.0,0.23076923076923078,46,0.391304347826087,0.06521739130434782,0.6086956521739131,0.16555183946488294,Medium,1
8,Up2+,0.10884353741496598,147,16,5.0,0.5625,131,3.7557251908396947,0.48091603053435117,1.2442748091603053,0.08158396946564883,Medium,0
