CompetitionID,SessionID,GameID,TeamID,EndID,Result,PowerPlay,MatchID,PowerPlayUsed,TeamID1,TeamID2,OppTeamID,TeamScoreBeforeEnd,OppScoreBeforeEnd,ScoreDiffBeforeEnd,ScoreBucket,ResultBin,IsOvertime
0,1,1,19,1,0,,0-1-1,0,19,27,27.0,0,0,0,Tied,0,0
0,1,1,19,2,2,,0-1-1,0,19,27,27.0,0,1,-1,Down1,2,0
0,1,1,19,3,0,,0-1-1,0,19,27,27.0,2,1,1,Up1,0,0
0,1,1,19,4,1,,0-1-1,0,19,27,27.0,2,4,-2,Down2+,1,0
0,1,1,19,5,2,,0-1-1,0,19,27,27.0,3,4,-1,Down1,2,0
0,1,1,19,6,0,,0-1-1,0,19,27,27.0,5,4,1,Up1,0,0
0,1,1,19,7,0,1.0,0-1-1,1,19,27,27.0,5,5,0,Tied,0,0
0,1,1,19,8,0,,0-1-1,0,19,27,27.0,5,8,-3,Down2+,0,0
0,1,1,27,1,1,,0-1-1,0,19,27,19.0,0,0,0,Tied,1,0
0,1,1,27,2,0,,0-1-1,0,19,27,19.0,1,0,1,Up1,0,0
0,1,1,27,3,3,,0-1-1,0,19,27,19.0,1,2,-1,Down1,3+,0
0,1,1,27,4,0,,0-1-1,0,19,27,19.0,4,2,2,Up2+,0,0
0,1,1,27,5,0,,0-1-1,0,19,27,19.0,4,3,1,Up1,0,0
0,1,1,27,6,1,1.0,0-1-1,1,19,27,19.0,4,5,-1,Down1,1,0
0,1,1,27,7,3,,0-1-1,0,19,27,19.0,5,5,0,Tied,3+,0
0,1,1,27,8,1,,0-1-1,0,19,27,19.0,8,5,3,Up2+,1,0
0,1,2,20,1,0,,0-1-2,0,46,20,46.0,0,0,0,Tied,0,0
0,1,2,20,2,1,,0-1-2,0,46,20,46.0,0,1,-1,Down1,1,0
0,1,2,20,3,0,,0-1-2,0,46,20,46.0,1,1,0,Tied,0,0
0,1,2,20,4,1,,0-1-2,0,46,20,46.0,1,2,-1,Down1,1,0
0,1,2,20,5,1,,0-1-2,0,46,20,46.0,2,2,0,Tied,1,0
0,1,2,20,6,0,,0-1-2,0,46,20,46.0,3,2,1,Up1,0,0
0,1,2,20,7,2,2.0,0-1-2,1,46,20,46.0,3,5,-2,Down2+,2,0
0,1,2,20,8,1,,0-1-2,0,46,20,46.0,5,5,0,Tied,1,0
0,1,2,46,1,1,,0-1-2,0,46,20,20.0,0,0,0,Tied,1,0
0,1,2,46,2,0,,0-1-2,0,46,20,20.0,1,0,1,Up1,0,0
0,1,2,46,3,1,,0-1-2,0,46,20,20.0,1,1,0,Tied,1,0
0,1,2,46,4,0,,0-1-2,0,46,20,20.0,2,1,1,Up1,0,0
0,1,2,46,5,0,,0-1-2,0,46,20,20.0,2,2,0,Tied,0,0
0,1,2,46,6,3,2.0,0-1-2,1,46,20,20.0,2,3,-1,Down1,3+,0
0,1,2,46,7,0,,0-1-2,0,46,20,20.0,5,3,2,Up2+,0,0
0,1,2,46,8,0,,0-1-2,0,46,20,20.0,5,5,0,Tied,0,0
0,1,3,17,1,1,,0-1-3,0,17,22,22.0,0,0,0,Tied,1,0
0,1,3,17,2,1,,0-1-3,0,17,22,22.0,1,0,1,Up1,1,0
0,1,3,17,3,0,,0-1-3,0,17,22,22.0,2,0,2,Up2+,0,0
0,1,3,17,4,1,,0-1-3,0,17,22,22.0,2,2,0,Tied,1,0
0,1,3,17,5,0,,0-1-3,0,17,22,22.0,3,2,1,Up1,0,0
0,1,3,17,6,2,1.0,0-1-3,1,17,22,22.0,3,3,0,Tied,2,0
0,1,3,17,7,1,,0-1-3,0,17,22,22.0,5,3,2,Up2+,1,0
0,1,3,17,8,0,,0-1-3,0,17,22,22.0,6,3,3,Up2+,0,0
0,1,3,17,9,0,,0-1-3,0,17,22,22.0,6,6,0,Tied,0,1
0,1,3,22,1,0,,0-1-3,0,17,22,17.0,0,0,0,Tied,0,0
0,1,3,22,2,0,,0-1-3,0,17,22,17.0,0,1,-1,Down1,0,0
0,1,3,22,3,2,,0-1-3,0,17,22,17.0,0,2,-2,Down2+,2,0
0,1,3,22,4,0,,0-1-3,0,17,22,17.0,2,2,0,Tied,0,0
0,1,3,22,5,1,,0-1-3,0,17,22,17.0,2,3,-1,Down1,1,0
0,1,3,22,6,0,,0-1-3,0,17,22,17.0,3,3,0,Tied,0,0
0,1,3,22,7,0,1.0,0-1-3,1,17,22,17.0,3,5,-2,Down2+,0,0
0,1,3,22,8,3,,0-1-3,0,17,22,17.0,3,6,-3,Down2+,3+,0
0,1,3,22,9,1,,0-1-3,0,17,22,17.0,6,6,0,Tied,1,1
0,1,4,18,1,0,,0-1-4,0,43,18,43.0,0,0,0,Tied,0,0
0,1,4,18,2,0,,0-1-4,0,43,18,43.0,0,1,-1,Down1,0,0
0,1,4,18,3,0,,0-1-4,0,43,18,43.0,0,2,-2,Down2+,0,0
0,1,4,18,4,2,,0-1-4,0,43,18,43.0,0,3,-3,Down2+,2,0
0,1,4,18,5,0,,0-1-4,0,43,18,43.0,2,3,-1,Down1,0,0
0,1,4,18,6,3,1.0,0-1-4,1,43,18,43.0,2,4,-2,Down2+,3+,0
0,1,4,18,7,0,,0-1-4,0,43,18,43.0,5,4,1,Up1,0,0
0,1,4,18,8,1,,0-1-4,0,43,18,43.0,5,6,-1,Down1,1,0
0,1,4,18,9,0,,0-1-4,0,43,18,43.0,6,6,0,Tied,0,1
0,1,4,43,1,1,,0-1-4,0,43,18,18.0,0,0,0,Tied,1,0
0,1,4,43,2,1,,0-1-4,0,43,18,18.0,1,0,1,Up1,1,0
0,1,4,43,3,1,,0-1-4,0,43,18,18.0,2,0,2,Up2+,1,0
0,1,4,43,4,0,,0-1-4,0,43,18,18.0,3,0,3,Up2+,0,0
0,1,4,43,5,1,,0-1-4,0,43,18,18.0,3,2,1,Up1,1,0
0,1,4,43,6,0,,0-1-4,0,43,18,18.0,4,2,2,Up2+,0,0
0,1,4,43,7,2,2.0,0-1-4,1,43,18,18.0,4,5,-1,Down1,2,0
0,1,4,43,8,0,,0-1-4,0,43,18,18.0,6,5,1,Up1,0,0
0,1,4,43,9,1,,0-1-4,0,43,18,18.0,6,6,0,Tied,1,1
0,10,1,20,1,1,,0-10-1,0,20,22,22.0,0,0,0,Tied,1,0
0,10,1,20,2,0,,0-10-1,0,20,22,22.0,1,0,1,Up1,0,0
0,10,1,20,3,3,,0-10-1,0,20,22,22.0,1,3,-2,Down2+,3+,0
0,10,1,20,4,0,,0-10-1,0,20,22,22.0,4,3,1,Up1,0,0
0,10,1,20,5,3,,0-10-1,0,20,22,22.0,4,7,-3,Down2+,3+,0
0,10,1,20,6,0,,0-10-1,0,20,22,22.0,7,7,0,Tied,0,0
0,10,1,20,7,1,2.0,0-10-1,1,20,22,22.0,7,7,0,Tied,1,0
0,10,1,20,8,0,,0-10-1,0,20,22,22.0,8,7,1,Up1,0,0
0,10,1,22,1,0,,0-10-1,0,20,22,20.0,0,0,0,Tied,0,0
0,10,1,22,2,3,,0-10-1,0,20,22,20.0,0,1,-1,Down1,3+,0
0,10,1,22,3,0,,0-10-1,0,20,22,20.0,3,1,2,Up2+,0,0
0,10,1,22,4,4,,0-10-1,0,20,22,20.0,3,4,-1,Down1,3+,0
0,10,1,22,5,0,,0-10-1,0,20,22,20.0,7,4,3,Up2+,0,0
0,10,1,22,6,0,2.0,0-10-1,1,20,22,20.0,7,7,0,Tied,0,0
0,10,1,22,7,0,,0-10-1,0,20,22,20.0,7,7,0,Tied,0,0
0,10,1,22,8,3,,0-10-1,0,20,22,20.0,7,8,-1,Down1,3+,0
0,10,2,27,1,1,,0-10-2,0,27,43,43.0,0,0,0,Tied,1,0
0,10,2,27,2,0,,0-10-2,0,27,43,43.0,1,0,1,Up1,0,0
0,10,2,27,3,0,,0-10-2,0,27,43,43.0,1,2,-1,Down1,0,0
0,10,2,27,4,0,,0-10-2,0,27,43,43.0,1,3,-2,Down2+,0,0
0,10,2,27,5,3,1.0,0-10-2,1,27,43,43.0,1,4,-3,Down2+,3+,0
0,10,2,27,6,1,,0-10-2,0,27,43,43.0,4,4,0,Tied,1,0
0,10,2,27,7,0,,0-10-2,0,27,43,43.0,5,4,1,Up1,0,0
0,10,2,27,8,1,,0-10-2,0,27,43,43.0,5,5,0,Tied,1,0
0,10,2,43,1,0,,0-10-2,0,27,43,27.0,0,0,0,Tied,0,0
0,10,2,43,2,2,,0-10-2,0,27,43,27.0,0,1,-1,Down1,2,0
0,10,2,43,3,1,,0-10-2,0,27,43,27.0,2,1,1,Up1,1,0
0,10,2,43,4,1,,0-10-2,0,27,43,27.0,3,1,2,Up2+,1,0
0,10,2,43,5,0,,0-10-2,0,27,43,27.0,4,1,3,Up2+,0,0
0,10,2,43,6,0,1.0,0-10-2,1,27,43,27.0,4,4,0,Tied,0,0
0,10,2,43,7,1,,0-10-2,0,27,43,27.0,4,5,-1,Down1,1,0
0,10,2,43,8,0,,0-10-2,0,27,43,27.0,5,5,0,Tied,0,0
0,11,1,17,1,2,,0-11-1,0,17,19,19.0,0,0,0,Tied,2,0
0,11,1,17,2,0,,0-11-1,0,17,19,19.0,2,0,2,Up2+,0,0
0,11,1,17,3,1,,0-11-1,0,17,19,19.0,2,1,1,Up1,1,0
0,11,1,17,4,0,,0-11-1,0,17,19,19.0,3,1,2,Up2+,0,0
0,11,1,17,5,1,,0-11-1,0,17,19,19.0,3,2,1,Up1,1,0
0,11,1,17,6,1,,0-11-1,0,17,19,19.0,4,2,2,Up2+,1,0
0,11,1,17,7,1,,0-11-1,0,17,19,19.0,5,2,3,Up2+,1,0
0,11,1,17,8,9,,0-11-1,0,17,19,19.0,6,2,4,Up2+,3+,0
0,11,1,19,1,0,,0-11-1,0,17,19,17.0,0,0,0,Tied,0,0
0,11,1,19,2,1,,0-11-1,0,17,19,17.0,0,2,-2,Down2+,1,0
0,11,1,19,3,0,,0-11-1,0,17,19,17.0,1,2,-1,Down1,0,0
0,11,1,19,4,1,,0-11-1,0,17,19,17.0,1,3,-2,Down2+,1,0
0,11,1,19,5,0,,0-11-1,0,17,19,17.0,2,3,-1,Down1,0,0
0,11,1,19,6,0,1.0,0-11-1,1,17,19,17.0,2,4,-2,Down2+,0,0
0,11,1,19,7,0,,0-11-1,0,17,19,17.0,2,5,-3,Down2+,0,0
0,11,1,19,8,9,,0-11-1,0,17,19,17.0,2,6,-4,Down2+,3+,0
0,11,2,18,1,0,,0-11-2,0,46,18,46.0,0,0,0,Tied,0,0
0,11,2,18,2,0,,0-11-2,0,46,18,46.0,0,2,-2,Down2+,0,0
0,11,2,18,3,1,,0-11-2,0,46,18,46.0,0,3,-3,Down2+,1,0
0,11,2,18,4,3,,0-11-2,0,46,18,46.0,1,3,-2,Down2+,3+,0
0,11,2,18,5,2,,0-11-2,0,46,18,46.0,4,3,1,Up1,2,0
0,11,2,18,6,0,,0-11-2,0,46,18,46.0,6,3,3,Up2+,0,0
0,11,2,18,7,0,1.0,0-11-2,1,46,18,46.0,6,6,0,Tied,0,0
0,11,2,18,8,0,,0-11-2,0,46,18,46.0,6,8,-2,Down2+,0,0
0,11,2,46,1,2,,0-11-2,0,46,18,18.0,0,0,0,Tied,2,0
0,11,2,46,2,1,,0-11-2,0,46,18,18.0,2,0,2,Up2+,1,0
0,11,2,46,3,0,,0-11-2,0,46,18,18.0,3,0,3,Up2+,0,0
0,11,2,46,4,0,,0-11-2,0,46,18,18.0,3,1,2,Up2+,0,0
0,11,2,46,5,0,,0-11-2,0,46,18,18.0,3,4,-1,Down1,0,0
0,11,2,46,6,3,1.0,0-11-2,1,46,18,18.0,3,6,-3,Down2+,3+,0
0,11,2,46,7,2,,0-11-2,0,46,18,18.0,6,6,0,Tied,2,0
0,11,2,46,8,1,,0-11-2,0,46,18,18.0,8,6,2,Up2+,1,0
0,11,3,24,1,3,,0-11-3,0,24,43,43.0,0,0,0,Tied,3+,0
